,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tuktoyaktuk,75,CA,1554087600,85,69.44,-133.03,15.8,17.22
1,rikitea,36,PF,1554090102,100,-23.12,-134.97,76.79,16.82
2,deputatskiy,32,RU,1554090146,90,69.3,139.9,19.01,3.74
3,komsomolskiy,20,RU,1554090147,83,67.55,63.78,20.18,15.26
4,mathathane,0,BW,1554090147,87,-22.27,28.75,61.58,2.84
5,torbay,90,CA,1554089567,100,47.66,-52.73,46.0,10.29
6,albany,75,US,1554089918,64,42.65,-73.75,37.0,12.75
7,hobart,20,AU,1554089896,41,-42.88,147.33,66.0,10.29
8,kruisfontein,32,ZA,1554090147,91,-34.0,24.73,58.7,22.08
9,vardo,75,US,1554089345,40,39.62,-77.74,34.0,21.92
10,san patricio,76,PY,1554089535,72,-26.98,-56.83,78.41,3.96
11,castro,90,CL,1554087600,100,-42.48,-73.76,51.8,6.93
12,kapaa,1,US,1554089908,51,22.08,-159.32,80.6,16.11
13,acapulco,5,MX,1554086700,73,16.86,-99.88,77.0,4.7
14,brae,68,GB,1554087000,86,60.4,-1.35,42.8,17.22
15,hobyo,92,SO,1554089613,85,5.35,48.53,80.03,9.22
16,puerto ayora,0,EC,1554089506,93,-0.74,-90.35,79.0,6.98
17,saskylakh,44,RU,1554089613,92,71.97,114.09,26.39,13.24
18,chapais,90,CA,1554087600,56,49.78,-74.86,12.2,12.75
19,homa bay,20,KE,1554087600,88,-0.53,34.45,69.8,2.24
20,nikolskoye,0,RU,1554089801,84,59.7,30.79,32.0,8.95
21,tsumeb,44,NA,1554090150,57,-19.25,17.72,65.9,3.96
22,mataura,80,NZ,1554090007,79,-46.19,168.86,51.01,3.0
23,hualmay,32,PE,1554090150,98,-11.1,-77.61,64.28,5.53
24,punta arenas,75,CL,1554090145,87,-53.16,-70.91,50.0,6.93
25,ponta do sol,32,BR,1554090151,81,-20.63,-46.0,64.1,2.51
26,kodiak,1,US,1554090125,40,39.95,-94.76,37.99,9.17
27,mildura,76,AU,1554089517,40,-34.18,142.16,71.01,5.82
28,pauini,12,BR,1554090151,93,-7.71,-67.0,77.87,1.61
29,norman wells,90,CA,1554087600,94,65.28,-126.83,32.0,12.75
30,ostrovnoy,32,RU,1554090152,82,68.05,39.51,22.7,17.83
31,camacha,20,PT,1554089400,77,33.08,-16.33,59.0,11.41
32,new norfolk,20,AU,1554090136,41,-42.78,147.06,66.0,10.29
33,mexicali,1,MX,1554087360,14,32.62,-115.44,75.2,3.36
34,faya,20,SA,1554087600,71,18.39,42.45,59.0,11.41
35,port lincoln,24,AU,1554090153,94,-34.72,135.86,65.18,2.95
36,hasaki,75,JP,1554089977,30,35.73,140.83,60.01,8.05
37,arraial do cabo,20,BR,1554090045,98,-22.97,-42.02,74.99,3.62
38,saint-philippe,90,CA,1554089935,90,45.36,-73.48,32.0,9.17
39,darlowo,0,PL,1554090154,95,54.42,16.41,41.15,9.89
40,hithadhoo,0,MV,1554089858,100,-0.6,73.08,83.18,5.53
41,butaritari,88,KI,1554089972,100,3.07,172.79,80.93,9.55
42,chuy,44,UY,1554090154,90,-33.69,-53.46,64.01,4.97
43,cockburn town,0,TC,1554090006,100,21.46,-71.14,77.15,11.23
44,yulara,0,AU,1554087600,19,-25.24,130.99,78.8,10.29
45,sao filipe,0,CV,1554090155,98,14.9,-24.5,70.31,14.7
46,kavieng,36,PG,1554090048,100,-2.57,150.8,82.46,7.87
47,oksfjord,88,NO,1554090009,92,70.24,22.35,28.4,25.28
48,dikson,76,RU,1554090156,97,73.51,80.55,30.17,19.39
49,port hedland,0,AU,1554087600,20,-20.31,118.58,96.8,10.29
50,yellowknife,90,CA,1554089888,86,62.45,-114.38,33.8,18.34
51,innerleithen,0,GB,1554090134,88,55.62,-3.06,41.0,2.24
52,najran,0,SA,1554087600,33,17.54,44.22,71.6,2.24
53,jamestown,0,AU,1554089602,60,-33.21,138.6,67.43,2.51
54,batangafo,48,CF,1554090157,78,7.3,18.29,74.63,4.63
55,kingsville,1,US,1554090144,44,39.45,-76.42,39.0,25.28
56,bluff,0,AU,1554090158,47,-23.58,149.07,79.13,6.98
57,sorong,24,ID,1554090158,98,-0.86,131.25,83.72,7.99
58,hilo,90,US,1554089814,88,19.71,-155.08,75.2,10.29
59,busselton,48,AU,1554089539,29,-33.64,115.35,87.01,12.35
60,east london,75,ZA,1554087600,82,-33.02,27.91,62.6,18.34
61,atuona,20,PF,1554089620,100,-9.8,-139.03,82.28,12.01
62,fairbanks,1,US,1554090054,52,64.84,-147.72,53.6,4.7
63,vengerovo,0,RU,1554090159,94,55.68,76.74,30.8,14.7
64,thompson,20,CA,1554087600,57,55.74,-97.86,21.2,6.93
65,vestmannaeyjar,0,IS,1554090160,100,63.44,-20.27,32.96,9.55
66,longyearbyen,40,NO,1554087000,71,78.22,15.63,5.0,3.36
67,iqaluit,75,CA,1554090121,84,63.75,-68.52,-0.01,3.36
68,cap malheureux,20,MU,1554089941,88,-19.98,57.61,77.0,6.93
69,saint-augustin,0,FR,1554090020,75,44.83,-0.61,48.2,3.36
70,victoria,75,BN,1554087600,55,5.28,115.24,87.8,11.41
71,pangody,0,RU,1554090162,86,65.85,74.49,21.98,12.91
72,austin,1,US,1554090014,56,30.27,-97.74,46.99,6.64
73,yenagoa,0,NG,1554090162,94,4.92,6.26,77.15,6.08
74,cabo san lucas,5,MX,1554089532,46,22.89,-109.91,75.99,6.93
75,bethel,1,US,1554087360,57,60.79,-161.76,48.2,10.29
76,bredasdorp,8,ZA,1554087600,76,-34.53,20.04,53.6,8.05
77,beloha,0,MG,1554090079,82,-25.17,45.06,59.96,3.06
78,vaini,0,IN,1554087600,83,15.34,74.49,75.2,3.36
79,mar del plata,36,AR,1554089952,48,-46.43,-67.52,63.2,13.13
80,kulhudhuffushi,0,MV,1554089878,100,6.62,73.07,84.35,3.4
81,ushuaia,90,AR,1554087600,87,-54.81,-68.31,46.4,10.29
82,sao miguel do araguaia,0,BR,1554090164,92,-13.28,-50.16,73.91,2.73
83,port alfred,20,ZA,1554090164,94,-33.59,26.89,66.35,24.54
84,lasa,40,CY,1554089537,93,34.92,32.53,50.0,6.93
85,hovd,90,NO,1554090064,74,63.83,10.7,37.0,24.16
86,dunedin,32,NZ,1554089979,38,-45.87,170.5,64.0,15.01
